07:33:48.533603 | user: nolua_2    | success: true  | req made in window: 14    | time before next req: 0  
07:33:48.535703 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 0  
07:33:48.537239 | user: nolua_1    | success: true  | req made in window: 12    | time before next req: 0  
07:33:48.538295 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 0  
07:33:48.539442 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 0  
07:33:48.539442 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 0  
07:33:49.546296 | user: nolua_4    | success: true  | req made in window: 12    | time before next req: 0  
07:33:49.556709 | user: nolua_5    | success: true  | req made in window: 6     | time before next req: 0  
07:33:49.562514 | user: nolua_1    | success: true  | req made in window: 10    | time before next req: 0  
07:33:49.562514 | user: nolua_3    | success: true  | req made in window: 8     | time before next req: 0  
07:33:49.570515 | user: nolua_4    | success: true  | req made in window: 13    | time before next req: 0  
07:33:49.588370 | user: nolua_4    | success: true  | req made in window: 14    | time before next req: 0  
07:33:49.588370 | user: nolua_5    | success: true  | req made in window: 7     | time before next req: 0  
07:33:49.598922 | user: nolua_2    | success: true  | req made in window: 12    | time before next req: 0  
07:33:49.616763 | user: nolua_1    | success: true  | req made in window: 11    | time before next req: 0  
07:33:49.619291 | user: nolua_5    | success: true  | req made in window: 8     | time before next req: 0  
07:33:49.619291 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 0  
07:33:49.629567 | user: nolua_1    | success: true  | req made in window: 12    | time before next req: 0  
07:33:49.629567 | user: nolua_3    | success: true  | req made in window: 9     | time before next req: 0  
07:33:49.645001 | user: nolua_2    | success: true  | req made in window: 13    | time before next req: 0  
07:33:49.650015 | user: nolua_5    | success: true  | req made in window: 9     | time before next req: 0  
07:33:49.650015 | user: nolua_5    | success: true  | req made in window: 10    | time before next req: 0  
07:33:49.660465 | user: nolua_5    | success: true  | req made in window: 11    | time before next req: 0  
07:33:49.660465 | user: nolua_2    | success: true  | req made in window: 14    | time before next req: 0  
07:33:49.660465 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 0  
07:33:49.681001 | user: nolua_3    | success: true  | req made in window: 10    | time before next req: 0  
07:33:49.681001 | user: nolua_1    | success: true  | req made in window: 13    | time before next req: 0  
07:33:49.691255 | user: nolua_3    | success: true  | req made in window: 11    | time before next req: 0  
07:33:49.711834 | user: nolua_1    | success: true  | req made in window: 14    | time before next req: 0  
07:33:50.754304 | user: nolua_5    | success: true  | req made in window: 10    | time before next req: 0  
07:33:50.754304 | user: nolua_2    | success: true  | req made in window: 12    | time before next req: 0  
07:33:50.756220 | user: nolua_3    | success: true  | req made in window: 8     | time before next req: 0  
07:33:50.756220 | user: nolua_3    | success: true  | req made in window: 8     | time before next req: 0  
07:33:50.757069 | user: nolua_2    | success: true  | req made in window: 13    | time before next req: 0  
07:33:50.757069 | user: nolua_1    | success: true  | req made in window: 8     | time before next req: 0  
07:33:50.757069 | user: nolua_5    | success: true  | req made in window: 11    | time before next req: 0  
07:33:50.757069 | user: nolua_4    | success: true  | req made in window: 10    | time before next req: 0  
07:33:50.757575 | user: nolua_2    | success: true  | req made in window: 14    | time before next req: 0  
07:33:50.759022 | user: nolua_5    | success: true  | req made in window: 12    | time before next req: 0  
07:33:50.759022 | user: nolua_1    | success: true  | req made in window: 9     | time before next req: 0  
07:33:50.763917 | user: nolua_1    | success: true  | req made in window: 10    | time before next req: 0  
07:33:50.763917 | user: nolua_5    | success: true  | req made in window: 13    | time before next req: 0  
07:33:50.774247 | user: nolua_4    | success: true  | req made in window: 11    | time before next req: 0  
07:33:50.774552 | user: nolua_1    | success: true  | req made in window: 11    | time before next req: 0  
07:33:50.775183 | user: nolua_1    | success: true  | req made in window: 12    | time before next req: 0  
07:33:50.776248 | user: nolua_4    | success: true  | req made in window: 12    | time before next req: 0  
07:33:50.776752 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 0  
07:33:50.776752 | user: nolua_3    | success: true  | req made in window: 9     | time before next req: 0  
07:33:50.776752 | user: nolua_3    | success: true  | req made in window: 9     | time before next req: 0  
07:33:50.777290 | user: nolua_1    | success: true  | req made in window: 13    | time before next req: 0  
07:33:50.777845 | user: nolua_1    | success: true  | req made in window: 13    | time before next req: 0  
07:33:50.778447 | user: nolua_4    | success: true  | req made in window: 13    | time before next req: 0  
07:33:50.778954 | user: nolua_3    | success: true  | req made in window: 10    | time before next req: 0  
07:33:50.779500 | user: nolua_1    | success: true  | req made in window: 14    | time before next req: 0  
07:33:50.779866 | user: nolua_5    | success: true  | req made in window: 13    | time before next req: 0  
07:33:50.780926 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 0  
07:33:51.789054 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 6  
